Train user,Test user,Precision,Recall,F1-Score,Benign rows flagged,Total benign rows,Workload reduction
JCE0258,RCW0822,0.0019,1.0,0.0039,1549,13914,0.8887
RCW0822,JCE0258,0.0036,1.0,0.0072,2216,13903,0.8406
